Time,Maximum temperature,Minimum temperature,Rainfall,Maximum Windspeed 10m
20240313,29.519043,13.503632,9.37422e-05,3.5435407
20240314,30.945648,12.341644,0.0,5.2748556
20240315,31.36557,13.326355,0.0,3.2768505
20240316,33.38806,11.848907,0.0,3.6122885
20240317,33.898834,12.362518,0.0,3.4674945
20240318,34.15982,12.060455,0.0,2.976403
20240319,35.63803,14.015228,0.0,3.3369288
Time,Maximum temperature,Minimum temperature,Rainfall,Maximum Windspeed 10m
20240313,29.519043,13.503632,9.37422e-05,3.5435407
20240314,30.945648,12.341644,0.0,5.2748556
20240315,31.36557,13.326355,0.0,3.2768505
20240316,33.38806,11.848907,0.0,3.6122885
20240317,33.898834,12.362518,0.0,3.4674945
20240318,34.15982,12.060455,0.0,2.976403
20240319,35.63803,14.015228,0.0,3.3369288
